iter	Logloss
0	0.6638192083
1	0.6415439999
2	0.6232603201
3	0.608174771
4	0.5958148846
5	0.5861552671
6	0.5779631744
7	0.5710924745
8	0.5651330081
9	0.5605852337
10	0.5566708083
11	0.5531108216
12	0.5502672607
13	0.5476459979
14	0.5456990746
15	0.5441238747
16	0.5424212844
17	0.5409442501
18	0.5396438737
19	0.5384264127
20	0.5374201392
21	0.536581265
22	0.5356536934
23	0.5348154465
24	0.5338072965
25	0.5327457227
26	0.5323110781
27	0.5317542763
28	0.5311883473
29	0.5307262901
30	0.5302726048
31	0.5298739024
32	0.5292657094
33	0.5283582154
34	0.5278674878
35	0.5273272278
36	0.527027638
37	0.5267176634
38	0.5262447198
39	0.5258294785
40	0.525245897
41	0.5247575275
42	0.5242550758
43	0.523883852
44	0.5236498099
45	0.5234440264
46	0.5230528542
47	0.5228140121
48	0.5225759316
49	0.5222924095
50	0.5219412322
51	0.5216895795
52	0.5214039906
53	0.5212427802
54	0.5208760547
55	0.5206918301
56	0.5204695957
57	0.5202475648
58	0.5200807423
59	0.5198912511
60	0.5197375788
61	0.5195630624
62	0.5192013508
63	0.5189719414
64	0.5188167439
65	0.5186640917
66	0.518452363
67	0.5182587893
68	0.5180936581
69	0.5178848212
70	0.5178019799
71	0.517705208
72	0.517592263
73	0.5174260087
74	0.5172772613
75	0.5171210862
76	0.5170069099
77	0.5167697713
78	0.5166500618
79	0.5164925632
80	0.5163687252
81	0.5161244834
82	0.5159663806
83	0.5158794933
84	0.5157581225
85	0.515576764
86	0.5153718139
87	0.5152781308
88	0.5151973595
89	0.5151395073
90	0.5149623274
91	0.514823082
92	0.5147161441
93	0.5145989524
94	0.5145186272
95	0.5144140255
96	0.5142595998
97	0.5141521265
98	0.514054447
99	0.5138403589
100	0.5137501129
101	0.5136318237
102	0.5134794884
103	0.5133000202
104	0.513210597
105	0.5131133968
106	0.5129682464
107	0.5128384462
108	0.5127624363
109	0.5126725087
110	0.512555793
111	0.5124854447
112	0.5124040205
113	0.5121468914
114	0.5120660036
115	0.5118714535
116	0.511794311
117	0.5116802156
118	0.5115701854
119	0.5115060685
120	0.5114204252
121	0.5112722364
122	0.511135162
123	0.5110460618
124	0.5109284765
125	0.5107540318
126	0.5106052628
127	0.5104797185
128	0.5103626001
129	0.5101470292
130	0.5100073847
131	0.509909519
132	0.5098176562
133	0.509712866
134	0.5096202419
135	0.5095375287
136	0.5094512691
137	0.509331868
138	0.5092270894
139	0.5090439822
140	0.5089533792
141	0.5088495247
142	0.5088005555
143	0.5087031152
144	0.5086185671
145	0.5085174599
146	0.5084372171
147	0.5083582589
148	0.5083010692
149	0.5082206314
150	0.508120728
151	0.5080420187
152	0.5079652383
153	0.507880668
154	0.507756116
155	0.5076575445
156	0.5075708818
157	0.5074756448
158	0.5074094273
159	0.5073645124
160	0.507282676
161	0.507202716
162	0.5070650048
163	0.5069953341
164	0.5069217136
165	0.5068394317
166	0.50678818
167	0.5067186619
168	0.5066535892
169	0.5065988292
170	0.5065209014
171	0.5064568389
172	0.5063532737
173	0.5063034861
174	0.5062115194
175	0.5061518406
176	0.5060824692
177	0.5060114119
178	0.5059418202
179	0.5057861899
180	0.5057232741
181	0.5056831166
182	0.5056206771
183	0.5055260128
184	0.505452758
185	0.5053987017
186	0.5053480131
187	0.5052897313
188	0.5052354172
189	0.5051737763
190	0.5051055322
191	0.5050529812
192	0.5050014459
193	0.5049352609
194	0.5048595347
195	0.5048173148
196	0.5047561729
197	0.5046836021
198	0.5045982401
199	0.5045221817
200	0.5044626961
201	0.5044077705
202	0.5043662621
203	0.5042961342
204	0.5042513733
205	0.5041620319
206	0.5041046872
207	0.5040723564
208	0.5040153544
209	0.5039537535
210	0.5039139851
211	0.5038227472
212	0.5037903162
213	0.5037434568
214	0.5036754887
215	0.5036062775
216	0.5035329479
217	0.5034627731
218	0.5033917632
219	0.5033097562
220	0.5032809337
221	0.503240973
222	0.5031827165
223	0.5030880632
224	0.5029579432
225	0.502909274
226	0.5027820408
227	0.5027085335
228	0.5026681633
229	0.5026140155
230	0.5025520452
231	0.5025152709
232	0.5024550712
233	0.5024027163
234	0.5023582901
235	0.5022986171
236	0.5021995765
237	0.5021346308
238	0.5020625463
239	0.5020263737
240	0.5019678555
241	0.5018979682
242	0.5018391529
243	0.5017632615
244	0.501727484
245	0.5016788242
246	0.5016310644
247	0.501595407
248	0.5015423489
249	0.5014931259
250	0.5014085619
251	0.501362092
252	0.5013258582
253	0.5012632219
254	0.501219688
255	0.5011635152
256	0.5011215138
257	0.5010447848
258	0.5010067849
259	0.5009620598
260	0.5008991353
261	0.5008386466
262	0.5007670603
263	0.5007072592
264	0.5006817019
265	0.5005976182
266	0.5005156158
267	0.5004461202
268	0.500390848
269	0.5003627809
270	0.5003037476
271	0.5002500818
272	0.5002210983
273	0.5001767553
274	0.5001365235
275	0.5000784459
276	0.5000443813
277	0.4999943974
278	0.4999517886
279	0.4998905947
280	0.4998585121
281	0.4998440705
282	0.4997979895
283	0.499756822
284	0.4997272675
285	0.4996237147
286	0.4995714291
287	0.4995408254
288	0.4994938149
289	0.4994418486
290	0.4994146368
291	0.499369195
292	0.4993198274
293	0.4992841954
294	0.4992485827
295	0.4992046456
296	0.4991743307
297	0.4991404257
298	0.4990932375
299	0.499058173
