iter	Passed	Remaining
0	25	7624
1	64	9588
2	118	11772
3	147	10905
4	174	10275
5	201	9890
6	226	9461
7	249	9091
8	272	8801
9	293	8519
10	315	8288
11	342	8208
12	363	8026
13	386	7889
14	412	7842
15	436	7745
16	459	7649
17	484	7593
18	507	7500
19	533	7471
20	562	7476
21	591	7479
22	622	7495
23	654	7523
24	680	7483
25	707	7455
26	738	7466
27	768	7462
28	795	7436
29	824	7422
30	852	7400
31	880	7375
32	907	7340
33	938	7341
34	965	7308
35	990	7265
36	1016	7226
37	1045	7208
38	1087	7277
39	1114	7244
40	1141	7213
41	1166	7167
42	1190	7113
43	1213	7061
44	1250	7088
45	1289	7118
46	1324	7128
47	1363	7160
48	1394	7141
49	1436	7180
50	1486	7259
51	1531	7304
52	1572	7327
53	1615	7359
54	1666	7425
55	1817	7920
56	1929	8223
57	1967	8207
58	1997	8157
59	2039	8159
60	2077	8137
61	2116	8125
62	2145	8072
63	2169	8000
64	2194	7935
65	2226	7894
66	2254	7840
67	2288	7807
68	2319	7764
69	2349	7719
70	2377	7667
71	2404	7613
72	2432	7565
73	2460	7514
74	2487	7463
75	2518	7421
76	2547	7378
77	2583	7352
78	2611	7304
79	2641	7263
80	2668	7215
81	2695	7165
82	2726	7128
83	2751	7075
84	2781	7035
85	2805	6981
86	2828	6924
87	2854	6875
88	2882	6833
89	2913	6797
90	2942	6758
91	2974	6723
92	3005	6689
93	3038	6657
94	3072	6629
95	3098	6585
96	3126	6544
97	3156	6507
98	3187	6471
99	3214	6429
100	3241	6385
101	3269	6346
102	3295	6302
103	3323	6264
104	3352	6226
105	3381	6188
106	3406	6144
107	3432	6101
108	3456	6056
109	3479	6010
110	3503	5965
111	3526	5919
112	3551	5876
113	3577	5837
114	3601	5793
115	3624	5748
116	3648	5707
117	3681	5678
118	3712	5647
119	3741	5612
120	3773	5582
121	3801	5546
122	3830	5512
123	3856	5473
124	3885	5440
125	3928	5425
126	3954	5386
127	3983	5352
128	4009	5314
129	4036	5277
130	4064	5243
131	4094	5210
132	4118	5171
133	4143	5132
134	4167	5094
135	4189	5052
136	4215	5015
137	4240	4978
138	4265	4940
139	4286	4898
140	4310	4861
141	4334	4822
142	4357	4784
143	4388	4754
144	4420	4725
145	4451	4695
146	4485	4669
147	4518	4640
148	4548	4609
149	4576	4576
150	4601	4540
151	4630	4509
152	4658	4475
153	4686	4443
154	4714	4410
155	4739	4375
156	4766	4341
157	4831	4342
158	4856	4306
159	4881	4271
160	4905	4235
161	4930	4199
162	4952	4162
163	4979	4128
164	5004	4094
165	5032	4062
166	5056	4027
167	5080	3991
168	5101	3954
169	5133	3925
170	5166	3897
171	5202	3871
172	5238	3845
173	5268	3815
174	5299	3785
175	5330	3755
176	5358	3723
177	5388	3693
178	5416	3661
179	5441	3627
180	5468	3595
181	5496	3563
182	5524	3531
183	5550	3499
184	5573	3464
185	5599	3431
186	5623	3398
187	5643	3362
188	5664	3327
189	5690	3294
190	5714	3261
191	5738	3227
192	5760	3193
193	5785	3161
194	5808	3127
195	5837	3097
196	5867	3067
197	5905	3042
198	5936	3013
199	5961	2980
200	5993	2952
201	6022	2921
202	6055	2893
203	6084	2863
204	6113	2833
205	6136	2800
206	6167	2771
207	6195	2740
208	6226	2711
209	6252	2679
210	6280	2649
211	6305	2617
212	6333	2586
213	6383	2565
214	6416	2536
215	6439	2504
216	6461	2471
217	6481	2438
218	6509	2407
219	6537	2377
220	6564	2346
221	6592	2316
222	6623	2286
223	6649	2256
224	6675	2225
225	6701	2194
226	6727	2163
227	6753	2132
228	6777	2101
229	6805	2071
230	6837	2042
231	6866	2012
232	6897	1983
233	6926	1953
234	6950	1922
235	6976	1891
236	7000	1860
237	7024	1829
238	7050	1799
239	7074	1768
240	7098	1737
241	7126	1708
242	7150	1677
243	7171	1645
244	7193	1614
245	7219	1584
246	7243	1554
247	7273	1525
248	7304	1496
249	7335	1467
250	7365	1437
251	7394	1408
252	7424	1379
253	7452	1349
254	7476	1319
255	7506	1290
256	7533	1260
257	7560	1230
258	7589	1201
259	7620	1172
260	7649	1143
261	7671	1112
262	7694	1082
263	7724	1053
264	7749	1023
265	7771	993
266	7794	963
267	7819	933
268	7842	903
269	7865	873
270	7888	844
271	7911	814
272	7933	784
273	7961	755
274	7989	726
275	8024	697
276	8053	668
277	8079	639
278	8111	610
279	8142	581
280	8173	552
281	8199	523
282	8228	494
283	8254	465
284	8279	435
285	8305	406
286	8333	377
287	8360	348
288	8384	319
289	8410	290
290	8433	260
291	8458	231
292	8481	202
293	8507	173
294	8530	144
295	8558	115
296	8580	86
297	8602	57
298	8629	28
299	8654	0
